description,date,Ruggerio,Lynch Prata,Mr. President,Goldin,Satchell,Nesselbush,Picard,Calkin,Archambault,Cote,Kettle,Cool Rumsey,Raptakis,Seveney,Crowley,Algiere,Jabour,Da Ponte,Pagliarini,Gallo,Madam President,Coyne,Morgan,Metts,Sosnowski,Gee,Lynch,O'Neill,Doyle,Goodwin,Ciccone,Paiva Weed,Conley,Hodgson,Lombardo,Felag,Walaska,Pearson,Paolino,Pichardo,Sheehan,Fogarty,Miller,DiPalma,McCaffrey,Quezada,Bates,Ottiano,Lombardi
CONSENT CALENDARADOPTION,THURSDAY/ JANUARY 30/ 20144:31:53 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 1              2014-S 2008McCaffrey        JUDICIARYSTATE AFFAIRS AND GOVERNMENT -PASSAGERHODE ISLAND COMMERCE CORP.,THURSDAY/ JANUARY 30/ 20144:34:02 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CONSENT CALENDARADOPTION,TUESDAY/ FEBRUARY 04/ 20144:36:03 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
NEW BUSINESSRep. AJELLO          2014-H 7050Relating to State Affairsand Government - Rhode IslandCommerce CorporationIMMEDIATE CONSIDERATIONPASSAGE in CONCURRENCE,WEDNESDAY/ FEBRUARY 12/ 20144:42:57 PM,NV,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,NV,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CONSENT CALENDARADOPTION,WEDNESDAY/ FEBRUARY 12/ 20144:43:34 PM,NV,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,NV,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
NEW BUSINESSRep. AMORE           2014-H 7224An Act Relating toSolemnization of MarriagesIMMEDIATE CONSIDERATIONPASSAGE in CONCURRENCE,TUESDAY/ FEBRUARY 25/ 20144:31:53 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,NV,Y,Y,N/A,Y,Y,Y
CONSENT CALENDARADOPTION,TUESDAY/ FEBRUARY 25/ 20144:32:37 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,NV,Y,Y,N/A,Y,Y,Y
CALENDARITEM 1              2014-S 2015Picard           COMMERCERELATING TO BUSINESSES ANDPASSAGEPROFESSIONS - LAUNDRIES,TUESDAY/ FEBRUARY 25/ 20144:33:42 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,NV,Y,Y,N/A,Y,Y,Y
CALENDARITEM 2              2014-S 2258Lynch            RULESAMENDING THE RULES OF THE SENATEPASSAGEFOR THE YEARS 2013 and 2014,TUESDAY/ FEBRUARY 25/ 20144:34:30 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,NV,Y,Y,N/A,Y,Y,Y
CALENDARITEM 3              2014-S 2155McCaffrey        JUDICIARYRELATING TO DOMESTIC RELATIONS -PASSAGESOLEMNIZATION OF MARRIAGES,TUESDAY/ FEBRUARY 25/ 20144:35:24 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,NV,Y,Y,N/A,Y,Y,Y
CALENDARITEM 4      2014-S 2152 SUB A aaPearson          JUDICIARYRELATING TO STATE AFFAIRS ANDPASSAGEGOVERNMENT - OPEN MEETINGS,TUESDAY/ FEBRUARY 25/ 20144:37:07 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,NV,Y,Y,N/A,Y,Y,Y
"THE SENATE STANDS ADJOURNEDThe Rhode Island SenateShall ReconveneWednesday, February 26th, 20144:00 PM",WEDNESDAY/ FEBRUARY 26/ 201411:28:42 AM,NV,N/A,N/A,NV,NV,NV,NV,N/A,Y,Y,NV,NV,NV,N/A,NV,Y,NV,Y,N/A,NV,NV,N/A,N/A,NV,NV,N/A,NV,NV,NV,NV,Y,N/A,Y,NV,NV,NV,NV,NV,N/A,NV,NV,Y,NV,Y,NV,N/A,NV,NV,NV
"THE SENATE STANDS ADJOURNEDThe Rhode Island SenateShall ReconveneWednesday, February 26th, 20144:00 PM",WEDNESDAY/ FEBRUARY 26/ 201411:50:54 AM,NV,N/A,N/A,NV,NV,NV,NV,N/A,NV,Y,NV,Y,NV,N/A,NV,NV,NV,Y,N/A,NV,NV,N/A,N/A,NV,NV,N/A,NV,NV,NV,NV,Y,N/A,NV,NV,NV,NV,NV,NV,N/A,NV,NV,NV,NV,NV,NV,N/A,NV,NV,NV
CONSENT CALENDARADOPTION,WEDNESDAY/ FEBRUARY 26/ 20144:33:36 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,NV,Y,Y,Y,Y,N/A,Y,Y,Y
NEW BUSINESSSen. PICHARDO        2014-S 2405Commemorating the 170thAnniversary of DominicanRepublic Independence DayIMMEDIATE CONSIDERATIONPASSAGE,THURSDAY/ FEBRUARY 27/ 20144:31:12 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,NV,Y,Y,N/A,Y,Y,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
NEW BUSINESSSen. ALGIERE         2014-S 2403An Act Relating toSolemnization of MarriagesIMMEDIATE CONSIDERATIONPASSAGE,THURSDAY/ FEBRUARY 27/ 20144:35:53 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,NV,Y,Y,N/A,Y,Y,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 1              2014-S 2029Raptakis         JUDICIARYACT RELATING TO CRIMINALS-PASSAGECORRECTIONAL INSTITUTIONS-PAROLE,THURSDAY/ FEBRUARY 27/ 20144:42:52 PM,Y,N/A,N/A,NV,Y,Y,Y,N/A,N,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,NV,Y,Y,N/A,Y,Y,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 2              2014-S 2099Doyle            JUDICIARYCRIMINAL LAW - PAROLE BOARDPASSAGE,THURSDAY/ FEBRUARY 27/ 20144:43:38 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,NV,Y,Y,N/A,Y,Y,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 3              2014-S 2102Doyle            JUDICIARYCRIMINAL LAW - PAROLE BOARDPASSAGE,THURSDAY/ FEBRUARY 27/ 20144:44:15 PM,Y,N/A,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,N,Y,N/A,Y,Y,NV,Y,Y,N/A,Y,Y,NV,N,Y,Y,N/A,NV,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 4              2014-S 2284Metts            JUDICIARYSTATE AFFAIRS AND GOVERNMENT -PASSAGECORRECTIONS DEPARTMENT,THURSDAY/ FEBRUARY 27/ 20144:45:50 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,NV,Y,Y,N/A,Y,Y,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
"NEW BUSINESSSen. GOLDIN          2014-S 2571Celebrating the 250thAnniversary of the Founding ofBrown University on Feb 17, 2014IMMEDIATE CONSIDERATIONPASSAGE",TUESDAY/ MARCH 04/ 20144:31:50 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CONSENT CALENDARADOPTION,TUESDAY/ MARCH 04/ 20144:36:38 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CONSENT CALENDARADOPTION,WEDNESDAY/ MARCH 05/ 20144:33:07 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 2              2014-S 2254Archambault      SPECIAL LEGACT RELATING TO ALCOHOLICBEVERAGES - RETAIL LICENSESPASSAGE,WEDNESDAY/ MARCH 05/ 20144:34:00 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 3         2014-S 2116 SUB AJabour           SPECIAL LEGACT RELATING TO ALCOHOLICBEVERAGES - RETAIL LICENSESPASSAGE,WEDNESDAY/ MARCH 05/ 20144:34:49 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,NV,Y,Y,N/A,Y,Y,Y
CALENDARITEM 4         2014-S 2246 SUB ASatchell         LABORLABOR AND LABOR RELATIONS -CERT. TEACHERS' ARBITRATIONPASSAGE,WEDNESDAY/ MARCH 05/ 20144:38:33 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 5              2014-S 2106Satchell         LABORLABOR RELATIONS - MUNICIPALEMPLOYEES ARBITRATIONPASSAGE,WEDNESDAY/ MARCH 05/ 20144:39:31 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 6              2014-S 2107Satchell         LABORLABOR AND LABOR RELATIONS -MUNICIPAL POLICE ARBITRATIONPASSAGE,WEDNESDAY/ MARCH 05/ 20144:41:48 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 7              2014-S 2108Satchell         LABORLABOR AND LABOR RELATIONS -FIREFIGHTERS' ARBITRATIONPASSAGE,WEDNESDAY/ MARCH 05/ 20144:42:44 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 8         2014-H 7008 SUB AUcci             SPECIAL LEGACT RELATING TO ALCOHOLICBEVERAGES - RETAIL LICENSESPASSAGE,WEDNESDAY/ MARCH 05/ 20144:43:31 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,NV,Y,Y,N/A,Y,Y,Y
"NEW BUSINESSSen. NESSELBUSH      2014-S 2736Recognizing March 8th, 2014, as""International Women's Day""in the State of Rhode IslandIMMEDIATE CONSIDERATIONPASSAGE",THURSDAY/ MARCH 06/ 20144:49:04 PM,Y,N/A,N/A,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,NV,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CONSENT CALENDARADOPTION,THURSDAY/ MARCH 06/ 20144:57:21 PM,Y,N/A,N/A,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,NV,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CONSENT CALENDARADOPTION,TUESDAY/ MARCH 11/ 20144:29:37 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,NV,Y,NV,N/A,Y,Y,Y,Y,Y,NV,N/A,Y,NV,Y,Y,Y,Y,N/A,Y,Y,Y
CONSENT CALENDARADOPTION,WEDNESDAY/ MARCH 12/ 20144:26:22 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 1              2014-S 2240Picard           JUDICIARYMOTOR & OTHER VEHICLES -FOREIGN REGISTERED VEHICLESPASSAGE,WEDNESDAY/ MARCH 12/ 20144:27:52 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 2              2014-S 2537Fogarty          SPECIAL LEGJt.Res.:BIPARTISAN PREP.COMMISS.INFO.ON CONSTITUTIONAL QUESTIONSPASSAGE,WEDNESDAY/ MARCH 12/ 20144:29:01 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 3              2014-S 2538Fogarty          SPECIAL LEGSUBMIT QUESTION TO THE QUALIFIEDELECTORS - CONSTITUTIONAL CONV.PASSAGE,WEDNESDAY/ MARCH 12/ 20144:29:51 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 6              2014-S 2569Lombardi         JUDICIARYAN ACT RELATING TOPROBATE COURT - APPEALSPASSAGE,WEDNESDAY/ MARCH 12/ 20144:31:04 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 7         2014-S 2126 SUB ASatchell         ORDEREDTOWN OF WEST WARWICK -BONDS - SCHOOL FACILITIESPASSAGEIN CONCURRENCE,WEDNESDAY/ MARCH 12/ 20144:32:06 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 8         2014-H 7200 SUB ASerpa            ORDEREDTOWN OF WEST WARWICK -BONDS - SCHOOL FACILITIESPASSAGEIN CONCURRENCE,WEDNESDAY/ MARCH 12/ 20144:33:04 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
DETERMINATION of QUORUM,THURSDAY/ MARCH 13/ 20144:25:00 PM,NV,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,NV,Y,Y,N/A,NV,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CONSENT CALENDARADOPTION,THURSDAY/ MARCH 13/ 20144:36:45 PM,NV,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,NV,Y,Y,N/A,NV,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
"CALENDARITEM 1              2014-S 2268Doyle            FINANCECITY OF PAWTUCKET - BONDSSTREETS, SIDEWALKS AND BRIDGESPASSAGE",THURSDAY/ MARCH 13/ 20144:38:40 PM,NV,N/A,N/A,Y,Y,Y,Y,N/A,Y,NV,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,NV,Y,Y,N/A,NV,NV,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 2              2014-S 2084Sosnowski        HEALTHMOTOR AND OTHER VEHICLES- MISCELLANEOUS RULESPASSAGE,THURSDAY/ MARCH 13/ 20144:41:33 PM,NV,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,NV,Y,Y,N/A,NV,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 1              2014-S 2543McCaffrey        JUDICIARYRELATING TO WORKERS'COMPENSATION- ELECTRONIC FILINGPASSAGE,TUESDAY/ MARCH 18/ 20144:39:24 PM,NV,N/A,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,NV,Y,Y,Y,N/A,Y,Y,Y
